Date,Production_Quantity,Sales_Price,Cost_Price,Profit_Percent,Market_Share,Customer_Satisfaction,Engine_Size_cc,Mileage_km_l,Warranty_Period_months,Safety_Rating,Color,Monthly_Advertising_Expense,DealershipLocationID
2010-02-03,911,21195.00,31805.00,10.87,0.78,1.70259,5246,14.64472,53,3,Blue,3894,12
2010-01-16,628,17821.00,51947.00,13.38,2.99,4.61055,2272,14.99970,44,1,White,6859,13
2010-01-19,867,34837.00,13602.00,14.61,4.47,1.15680,4000,12.19435,39,2,Blue,8830,13
2010-01-17,152,66343.00,56709.00,16.68,3.31,3.49682,5553,13.86598,18,4,White,9372,14
2010-02-05,243,44093.00,44372.00,16.35,0.51,4.19611,2281,9.14232,36,2,Silver,2713,14
2010-01-18,159,77999.00,27715.00,19.89,4.46,4.20458,3351,13.85426,30,2,Black,9264,15
2010-02-01,97,42870.00,38392.00,14.19,4.59,2.58545,2676,5.54024,15,2,Red,5976,15
2010-01-21,193,15270.00,33777.00,11.38,3.18,2.58861,5795,16.27043,56,2,Silver,8385,16
2010-02-23,405,50102.00,40797.00,11.86,9.73,4.71546,3171,11.67531,28,1,Silver,8712,16
2010-01-22,262,20354.00,32673.00,12.81,1.53,3.24034,5575,7.67124,16,3,Silver,6903,17
2010-02-16,19,16772.00,27093.00,13.31,1.20,1.01339,1448,9.91576,41,2,Silver,7374,17
2010-01-23,234,21581.00,55318.00,15.39,0.13,1.15956,2361,19.25957,52,3,Red,5440,18
2010-01-28,337,21533.00,48535.00,6.02,3.58,2.66838,4276,10.23725,15,2,Red,5566,18
2010-01-24,606,33751.00,46571.00,5.87,5.15,4.89466,1454,13.70699,40,2,Red,8179,19
2010-01-25,299,52524.00,49789.00,10.08,8.55,4.59740,1674,6.99888,41,4,White,5708,20
2010-02-15,360,46663.00,36538.00,8.52,7.24,4.43439,2554,16.83409,12,4,Blue,4759,20
2010-01-26,150,43776.00,26466.00,8.96,0.38,3.85389,2213,18.65174,31,2,Red,3036,21
2010-03-01,811,57810.00,48217.00,9.39,3.15,2.12748,5831,7.84253,31,3,Black,1172,21
2010-01-27,107,23446.00,32760.00,19.45,0.52,4.02678,1550,8.03038,45,1,Silver,2459,22
2010-02-07,654,78672.00,51831.00,14.90,4.92,3.10378,4498,11.90367,13,3,Black,6149,22
2010-01-29,659,68299.00,41356.00,7.07,9.18,1.11706,2805,8.02981,25,1,Blue,8540,23
2010-01-30,866,68780.00,14365.00,11.31,5.45,2.95491,3271,17.50985,25,3,Silver,3214,24
2010-01-31,664,70780.00,42494.00,7.77,0.21,2.69558,2521,12.26417,49,3,Red,3317,25
2010-02-02,367,43476.00,31367.00,16.21,9.47,1.10731,2477,9.68101,33,2,Red,1536,26
2010-02-06,760,56686.00,49718.00,13.47,7.31,3.04327,1709,13.13338,19,1,Red,6553,26
2010-02-04,312,71129.00,56564.00,17.64,0.83,3.73641,1552,10.35637,15,1,White,2340,27
2010-02-09,354,64445.00,57452.00,14.47,3.70,1.16459,3407,15.28352,55,1,Black,1465,28
2010-02-10,91,37479.00,57217.00,17.04,2.43,4.62013,1764,9.90350,15,4,Silver,9588,29
2010-02-11,472,50092.00,53287.00,13.82,3.78,3.64952,4342,17.24284,34,4,Red,7025,30
2010-02-13,88,63055.00,39672.00,11.11,1.90,1.41088,5388,17.54084,58,4,Black,5069,31
2010-02-14,859,77768.00,46033.00,19.15,7.31,4.74373,4117,11.70827,38,3,Silver,3709,32
2010-02-17,687,57281.00,24405.00,15.57,3.19,3.26277,3846,7.04279,40,2,White,9727,33
2010-02-25,179,41587.00,59990.00,10.41,2.93,2.64911,2120,18.38360,49,1,Blue,6883,33
2010-02-18,267,26338.00,20675.00,11.68,1.62,4.79775,1204,11.01926,55,1,Silver,1912,34
2010-02-24,817,27463.00,35744.00,13.53,5.53,4.10395,4250,6.91191,33,1,Silver,7259,34
2010-02-26,478,21336.00,40868.00,18.20,6.69,2.33050,3011,6.16479,33,3,Black,3094,34
2010-02-19,957,15228.00,50241.00,13.91,2.57,4.42636,1089,16.34246,36,4,White,3731,35
2010-02-21,761,15170.00,56624.00,18.76,6.26,2.92845,1789,9.60546,58,1,Red,5764,36
2010-02-22,548,47782.00,56652.00,17.64,0.22,3.38791,4073,19.02392,12,4,Blue,8143,37
2010-02-27,163,75258.00,34022.00,8.87,1.74,2.08972,4578,14.84921,15,3,Red,1845,38
2010-03-03,317,57702.00,25050.00,9.19,1.62,3.23550,5825,7.22399,52,3,Blue,6871,6
2010-03-04,768,33144.00,45296.00,13.11,6.60,1.67171,3812,13.73818,12,3,Blue,9216,19
2010-03-05,130,39832.00,34092.00,6.18,9.16,1.07565,3444,12.52876,50,4,Silver,5909,1
2010-03-06,287,51931.00,13354.00,16.70,6.55,1.91316,1846,11.72176,39,3,Black,8221,26
2010-03-07,647,30436.00,18545.00,12.68,5.07,1.58393,5909,6.66711,17,4,Black,8924,39
2010-03-08,576,43249.00,21910.00,11.92,8.07,1.85082,3334,13.07145,17,3,Red,9604,40
2010-03-09,601,54071.00,21186.00,7.20,0.46,3.14328,3656,5.47886,40,3,Red,4999,24
2010-03-10,363,60315.00,55816.00,10.79,2.36,4.73961,4116,12.90122,58,1,Blue,6523,36
2010-03-11,378,24963.00,50939.00,16.87,8.02,4.00604,2078,5.99800,14,3,White,2423,41
2010-03-12,906,60383.00,13570.00,7.87,8.78,4.04612,3270,5.74317,31,4,Black,5254,17
2010-03-13,789,79348.00,48622.00,19.97,9.24,2.71006,5479,17.91101,22,4,White,1825,4
2010-03-14,230,56967.00,45544.00,9.66,8.36,4.53041,2289,18.71816,32,3,Black,8524,36
2010-03-15,811,17484.00,24076.00,5.73,5.50,3.97260,5821,8.28650,48,2,Blue,3446,27
2010-03-16,276,66341.00,51826.00,11.09,4.90,4.40375,3428,18.30498,49,4,Silver,7214,12
2010-03-17,407,34119.00,15290.00,16.00,1.26,3.31801,2775,13.30892,50,4,Black,1622,41
2010-03-18,991,24229.00,15799.00,17.83,9.47,1.01539,5733,11.28325,18,2,Black,6476,41
2010-03-19,20,40530.00,21162.00,9.50,5.26,4.10152,5313,7.88643,58,4,White,8938,23
2010-03-20,241,41046.00,54946.00,15.15,6.20,2.18817,2545,11.32980,23,3,Black,8538,25
2010-03-21,817,43135.00,21237.00,8.55,6.78,2.61266,3463,9.43017,31,1,Silver,5650,42
2010-03-22,810,38694.00,27052.00,18.27,6.54,1.07543,5783,15.75870,33,2,White,3673,41
2010-03-23,366,63858.00,39286.00,6.84,1.03,4.83144,5386,6.57688,30,1,Black,8701,43
2010-03-24,974,15936.00,21148.00,16.67,5.56,2.49864,4827,10.06223,27,2,Red,2606,44
2010-03-25,173,79700.00,44205.00,16.39,4.04,2.50020,2224,11.09483,48,4,White,2852,25
2010-03-26,722,35630.00,32769.00,16.94,0.13,1.60167,4127,10.11375,19,2,Silver,1839,17
2010-03-27,353,20614.00,24248.00,18.23,9.47,2.68001,1928,13.25412,57,1,Blue,6260,4
2010-03-28,97,15960.00,25045.00,17.15,6.59,4.16111,3220,6.43921,23,4,Red,4117,1
2010-03-29,215,29446.00,24539.00,5.26,5.36,4.17862,1613,19.34605,52,2,Silver,2456,8
2010-03-30,622,37683.00,52631.00,10.85,1.59,4.30911,4550,7.54758,35,3,Black,5946,12
2010-03-31,604,31112.00,39095.00,8.77,0.73,3.99127,5422,17.39275,49,1,Silver,8971,28
2010-04-01,969,19995.00,37820.00,10.69,1.80,1.71271,2232,13.63352,29,2,Red,8521,45
2010-04-02,184,74355.00,38894.00,15.63,1.31,1.83275,4926,9.77852,22,1,White,6168,46
2010-04-03,748,39383.00,39051.00,13.53,4.07,2.19840,4928,8.86161,47,3,Black,8536,43
2010-04-04,348,17588.00,30599.00,16.67,4.11,3.90628,2772,14.82006,20,3,Silver,1762,3
2010-04-05,30,40616.00,18901.00,13.23,8.82,4.10431,4593,19.32129,36,3,Black,2447,39
2010-04-06,36,16436.00,12574.00,7.92,7.19,3.48527,3289,6.40882,25,2,Red,1336,43
2010-04-07,422,29389.00,36178.00,18.22,0.80,2.33853,5751,10.28467,24,3,Silver,6853,2
2010-04-08,790,71947.00,58838.00,19.32,7.71,3.25313,5257,15.38781,51,2,White,5181,2
2010-04-09,795,20781.00,39036.00,7.55,4.87,3.52429,5732,10.50827,44,2,Blue,7769,13
2010-04-10,396,77042.00,40936.00,13.74,0.17,1.35029,2913,11.32578,53,3,Red,8825,1
2010-04-11,814,18177.00,29764.00,6.13,3.66,2.53903,3943,13.13178,45,1,Blue,6820,25
2010-04-12,980,56913.00,49740.00,10.26,2.31,4.17781,2010,8.00420,21,3,Black,3907,14
2010-04-13,556,39004.00,57523.00,8.49,2.75,4.02957,5244,7.48573,48,3,Blue,6269,19
2010-04-14,945,22339.00,14130.00,18.78,1.44,1.65830,3738,5.24620,22,4,Silver,5001,47
2010-04-15,20,58199.00,39497.00,13.17,7.01,2.92844,2803,5.07301,48,2,White,9242,15
2010-04-16,573,61924.00,49563.00,15.69,3.29,2.77900,4144,14.81586,12,1,Red,1110,48
2010-04-17,140,58444.00,38944.00,11.56,1.75,4.81900,3196,15.37781,18,4,White,6194,41
2010-04-18,203,26326.00,59680.00,11.86,8.62,2.72076,4333,6.12010,20,1,White,2004,49
2010-04-19,929,48751.00,45335.00,11.39,8.52,3.26661,3491,13.55651,29,1,Red,9729,42
2010-04-20,394,15085.00,35217.00,5.40,6.22,3.26178,2022,17.63297,33,1,Blue,7193,2
2010-04-21,390,35642.00,29345.00,19.63,1.85,4.25288,3335,11.62663,48,2,Black,8662,35
2010-04-22,852,34078.00,50218.00,12.05,5.14,4.98166,2229,9.79691,27,3,Black,8734,45
2010-04-23,517,46060.00,20414.00,10.24,4.22,1.26344,4762,17.81524,46,4,Blue,5188,36
2010-04-24,78,44110.00,23683.00,17.74,7.75,4.16071,1346,18.35993,29,2,Blue,4900,19
2010-04-25,414,56528.00,56546.00,11.73,1.00,2.25096,2799,7.73641,57,3,Black,9905,27
2010-04-26,707,45501.00,39638.00,5.60,7.36,4.03818,5553,17.61118,29,3,Silver,5186,49
2010-04-27,271,41895.00,46730.00,5.60,5.48,2.01565,2266,8.99760,15,1,Black,7997,39
2010-04-28,757,47126.00,17232.00,15.63,7.23,1.53538,2326,10.58873,15,1,Silver,5258,50
2010-04-29,878,24998.00,59555.00,5.87,5.80,2.88797,4765,6.89393,36,4,Blue,2365,6
2010-04-30,771,50773.00,39118.00,7.45,7.65,2.06126,4241,15.19082,14,3,Red,1246,18
2010-05-01,760,23546.00,51275.00,14.51,7.34,2.31603,4026,8.68742,50,3,White,1723,2
2010-05-02,525,33713.00,15108.00,5.56,5.66,1.31759,4853,9.73544,48,2,Silver,1227,36
2010-05-03,375,52772.00,41197.00,8.59,8.29,2.27466,3417,14.28211,52,1,Black,2499,7
2010-05-04,791,59484.00,42883.00,16.69,0.36,3.72095,2396,6.64435,17,3,Red,3529,15
2010-05-05,616,41729.00,49109.00,19.43,1.52,1.27101,1126,8.76448,56,2,Black,3007,4
2010-05-06,181,53330.00,28143.00,9.06,7.49,1.37693,5193,9.83193,58,4,Black,9818,33
2010-05-07,268,21797.00,32146.00,18.63,8.27,1.35052,3101,10.52096,38,4,Silver,4290,38
2010-05-08,389,25938.00,25166.00,9.09,1.85,3.36717,3948,10.31412,56,2,Blue,1663,48
2010-05-09,939,73027.00,41543.00,13.39,7.81,3.59495,3783,15.30269,28,1,White,4937,1
2010-05-10,389,42296.00,30386.00,14.90,4.77,1.78824,4721,15.00678,47,1,Silver,8411,26
2010-05-11,421,64234.00,15010.00,19.15,1.57,2.45928,4022,5.85274,27,3,Blue,3610,51
2010-05-12,527,47078.00,28301.00,12.77,8.48,1.17262,2277,16.04495,52,1,White,9691,18
2010-05-13,573,46526.00,48393.00,6.09,4.49,4.07283,4807,14.80943,20,3,Red,8936,15
2010-05-14,471,65045.00,51020.00,14.98,2.72,2.14649,2611,7.50332,15,2,Red,3791,8
2010-05-15,943,78294.00,44206.00,12.67,7.48,1.50247,5156,11.98643,13,3,White,2721,24
2010-05-16,801,50300.00,18100.00,9.04,5.56,1.53107,2288,9.60436,46,3,Silver,8598,34
2010-05-17,153,23872.00,48694.00,13.46,3.90,4.15561,3987,11.38231,43,1,White,6784,16
2010-05-18,596,38514.00,47732.00,14.39,0.46,1.87850,3265,6.66386,30,2,Blue,6541,7
2010-05-19,742,56694.00,23646.00,14.83,4.44,1.25085,2201,12.91214,44,3,Black,6546,37
2010-05-20,429,46527.00,46283.00,17.08,8.83,4.33274,4318,10.19855,15,2,Blue,5077,44
2010-05-21,930,15955.00,19029.00,18.09,9.39,2.45795,1170,7.42197,53,4,Black,1251,23
2010-05-22,616,46744.00,47118.00,14.23,3.92,4.93717,4398,17.31923,21,2,Silver,8206,3
2010-05-23,455,76601.00,31260.00,16.31,8.53,2.37705,2810,8.22896,56,2,Blue,5986,13
2010-05-24,319,39756.00,17098.00,17.16,4.81,1.31418,2892,14.99551,31,3,Red,7680,5
2010-05-25,265,45424.00,25762.00,19.52,7.08,2.36562,1874,12.82726,36,3,Red,8767,52
2010-05-26,886,39272.00,16016.00,15.75,6.96,3.88211,4243,8.63906,17,1,Black,5857,31
2010-05-27,97,60320.00,39538.00,11.91,4.67,1.74548,2955,9.65477,23,2,Red,1721,28
2010-05-28,402,54008.00,42797.00,15.00,1.34,3.85589,1034,13.89623,53,2,Red,8796,34
2010-05-29,935,18777.00,25633.00,19.52,1.04,2.10965,1597,13.63328,24,2,Black,1049,53
2010-05-30,360,33704.00,55459.00,9.20,8.50,4.77197,1193,15.95716,51,1,Red,9989,2
2010-05-31,109,62511.00,46660.00,7.28,9.58,3.81418,3915,16.16322,13,1,Red,7592,7
2010-06-01,468,68085.00,30608.00,11.39,5.10,1.75678,4398,7.20728,45,3,Silver,7717,15
2010-06-02,888,43935.00,22781.00,18.53,1.96,2.76434,4937,17.78725,43,3,Black,3368,6
2010-06-03,931,17653.00,42787.00,17.47,5.02,4.01176,5923,8.00714,48,3,Blue,4272,54
2010-06-04,399,38717.00,13605.00,13.18,4.07,3.74261,1032,6.59374,21,3,Black,2177,55
2010-06-05,503,20761.00,17787.00,11.75,4.02,1.72453,2227,9.50986,39,3,Red,5723,7
2010-06-06,655,48456.00,49940.00,7.09,1.58,4.98062,1691,15.86810,50,3,Red,6064,1
2010-06-07,110,18384.00,34766.00,9.85,9.55,3.43549,2657,6.94971,58,3,Black,5218,11
2010-06-08,680,76097.00,35302.00,8.08,9.83,3.12899,4948,8.66178,17,1,Red,3295,10
2010-06-09,781,51462.00,16417.00,18.20,9.15,3.81606,4920,16.66630,17,1,Red,2030,1
2010-06-10,386,47615.00,13347.00,15.55,0.60,1.92434,2652,8.60093,41,4,Black,4700,14
2010-06-11,21,50856.00,16799.00,15.17,6.51,2.53634,2091,17.99144,42,4,Black,8009,51
2010-06-12,195,58818.00,43752.00,16.59,1.06,2.56443,5581,18.28018,24,1,Silver,6285,17
2010-06-13,37,41297.00,13380.00,17.61,3.98,1.63162,3659,9.24919,15,2,Red,1371,24
2010-06-14,650,36117.00,45163.00,6.43,2.82,4.89931,5462,15.21385,36,4,Silver,6612,54
2010-06-15,997,39228.00,16561.00,15.80,8.39,3.03288,4230,19.58094,42,2,Silver,9036,30
2010-06-16,149,40370.00,28418.00,5.67,3.92,4.77357,4187,6.11592,43,4,Blue,7902,18
2010-06-17,174,31672.00,23937.00,7.61,1.63,2.30591,4091,6.72328,27,4,White,3570,41
2010-06-18,76,31368.00,34163.00,12.77,5.87,3.26209,1756,13.61452,51,3,White,1832,55
2010-06-19,927,77484.00,57699.00,8.43,3.80,3.62517,2456,18.69357,58,4,Silver,2244,8
2010-06-20,979,55618.00,54221.00,14.62,7.39,4.84183,5770,9.80660,56,3,Black,1400,19
2010-06-21,616,19797.00,55101.00,17.20,2.05,2.49270,2489,17.77322,56,1,Blue,1549,54
2010-06-22,836,54049.00,21498.00,16.63,4.16,1.51963,4056,6.50577,17,2,Silver,2418,35
2010-06-23,264,20906.00,43079.00,10.46,6.03,1.78563,4539,14.21632,21,2,Silver,4703,2
2010-06-24,805,19004.00,58579.00,8.77,8.98,1.76313,2131,18.62383,58,2,Silver,5720,7
2010-06-25,924,71145.00,43557.00,9.42,6.07,3.46398,1836,10.30741,34,3,Silver,8435,56
2010-06-26,127,34574.00,51380.00,6.52,9.06,4.97066,1678,7.88992,20,4,Blue,9419,10
2010-06-27,632,41489.00,48429.00,17.28,6.26,2.10841,3283,19.66542,53,4,Red,7449,4
2010-06-28,443,57003.00,15290.00,15.05,3.92,2.98964,5481,5.09525,43,3,White,2462,34
2010-06-29,900,30816.00,14975.00,7.09,0.67,3.70574,4723,16.73402,40,3,White,5708,54
2010-06-30,835,30550.00,56274.00,6.62,1.85,1.04790,2445,6.09915,48,4,Black,8014,29
2010-07-01,994,31665.00,17158.00,15.96,8.53,4.84255,1549,17.15654,13,4,Red,9953,6
2010-07-02,562,70705.00,21093.00,7.76,2.15,3.37451,4983,12.47666,19,1,Blue,6200,45
2010-07-03,61,37155.00,20881.00,15.86,9.68,2.35590,2006,17.43567,35,2,Black,6740,1
2010-07-04,416,26043.00,44486.00,10.75,6.72,2.87587,3186,5.50146,43,1,Blue,1641,33
2010-07-05,636,20041.00,51049.00,7.94,8.62,1.24769,4299,16.30800,51,1,Silver,5659,35
2010-07-06,807,56828.00,16327.00,12.53,8.07,4.67610,2214,11.64905,44,4,White,6164,28
2010-07-07,447,57965.00,23613.00,8.24,0.18,3.70451,4871,8.06547,38,4,Silver,8610,2
2010-07-08,690,76821.00,19352.00,10.05,7.90,1.08018,3306,7.83492,14,4,White,6484,19
2010-07-09,823,65575.00,52125.00,19.81,9.22,3.30933,3604,16.85967,35,2,Red,7560,29
2010-07-10,60,57163.00,55656.00,10.82,6.63,3.98391,3103,15.00517,22,1,Red,5892,57
2010-07-11,959,49778.00,54640.00,5.82,4.54,3.59481,5294,14.86408,12,3,Red,5560,1
2010-07-12,602,35764.00,43125.00,10.71,9.48,3.67560,5162,12.93699,54,3,Blue,4668,47
2010-07-13,241,79226.00,37311.00,14.29,2.52,3.11890,2460,13.10439,58,2,Black,3198,50
2010-07-14,533,27178.00,12504.00,8.50,5.75,2.21640,2177,8.57430,30,1,Red,6754,12
2010-07-15,810,28918.00,45016.00,13.16,2.77,3.89467,2421,19.18867,43,3,Black,5645,57
2010-07-16,626,32500.00,47754.00,10.99,9.40,3.04211,1836,5.63984,15,4,Black,2108,5
2010-07-17,835,59009.00,14290.00,10.95,6.94,2.02724,1765,15.31766,56,1,Black,2306,16
2010-07-18,905,62512.00,20323.00,11.36,7.70,4.18295,2412,5.26877,43,1,Silver,5848,9
2010-07-19,677,56797.00,56120.00,9.12,5.82,4.92034,3366,14.33020,29,3,Blue,3581,58
2010-07-20,918,73455.00,28395.00,9.88,0.77,2.08033,1630,9.19118,31,2,White,5412,51
2010-07-21,344,62450.00,15705.00,5.28,0.81,2.80523,4182,19.78687,38,4,Black,3805,17
2010-07-22,700,27564.00,26761.00,8.02,9.21,2.65830,5841,7.26102,18,1,White,3508,23
2010-07-23,966,54879.00,39171.00,8.90,4.44,1.77519,3158,15.92437,29,4,White,4460,26
2010-07-24,855,58586.00,19415.00,14.35,3.60,3.38206,5370,11.41224,36,1,White,6419,27
2010-07-25,968,78504.00,12538.00,19.69,1.05,1.65516,3082,8.37169,57,4,Black,2941,14
2010-07-26,446,27019.00,36179.00,10.79,4.36,3.06258,1601,18.41354,54,2,Red,9003,9
2010-07-27,459,15347.00,31632.00,16.46,9.76,2.09618,5093,6.45943,45,1,Silver,7826,26
2010-07-28,198,79053.00,57186.00,8.89,5.25,4.69259,5800,8.62344,51,2,White,8147,35
2010-07-29,169,19509.00,16486.00,13.51,4.04,1.33004,3891,18.48592,53,4,Blue,8848,18
2010-07-30,122,60255.00,15377.00,16.90,0.64,2.23254,5527,15.53269,45,2,Red,1835,58
2010-07-31,315,78203.00,31055.00,6.64,1.80,3.41304,2110,19.47852,29,2,Silver,9758,40
2010-08-01,723,41789.00,58091.00,5.26,3.58,3.61559,5674,6.35685,41,4,Black,9799,53
2010-08-02,519,62142.00,55541.00,6.64,8.48,2.14614,4490,15.58964,55,4,White,3365,26
2010-08-03,243,70946.00,55088.00,12.53,8.88,1.22429,3891,5.95910,53,4,Silver,1222,32
2010-08-04,920,52410.00,15848.00,16.00,6.27,2.02687,2772,10.24309,50,1,White,2867,14
2010-08-05,217,59372.00,51783.00,7.77,1.40,2.28375,4929,12.66315,35,4,Silver,7928,55
2010-08-06,533,46502.00,56757.00,13.34,8.62,3.38171,5441,17.68319,21,1,Silver,5975,50
2010-08-07,718,18614.00,55968.00,9.56,9.43,4.35456,5700,16.63964,38,3,Silver,7571,9
2010-08-08,811,17102.00,30671.00,10.96,3.78,4.64700,5001,19.30170,25,4,White,5365,59
2010-08-09,194,19697.00,24963.00,6.98,8.74,2.93133,4799,8.00588,25,1,Blue,5851,3
2010-08-10,770,30526.00,28098.00,17.55,9.51,2.31748,4277,13.48148,25,1,Red,1897,17
2010-08-11,435,22904.00,22586.00,14.32,8.00,2.76805,1049,9.31922,29,4,Red,5866,36
2010-08-12,677,79955.00,45312.00,17.94,9.89,3.20092,5838,18.17424,36,4,Red,7201,42
2010-08-13,444,73209.00,55105.00,7.36,0.54,1.16891,4885,13.50006,23,4,Silver,8369,44
2010-08-14,617,56400.00,59868.00,17.73,2.89,4.27067,2271,7.27884,29,1,Black,2093,29
2010-08-15,155,52139.00,58550.00,8.02,9.94,2.66872,5401,7.26561,51,2,White,7248,30
2010-08-16,409,43499.00,47219.00,8.35,9.29,1.40306,2417,19.62791,52,2,Blue,2827,16
2010-08-17,432,75829.00,15558.00,14.46,3.83,4.58735,4237,6.93763,26,1,Silver,2903,45
2010-08-18,908,67453.00,59848.00,5.61,2.25,2.01556,3299,8.57487,44,1,Silver,4647,57
2010-08-19,863,27158.00,53016.00,8.39,7.10,3.52959,2362,8.89768,20,3,White,9057,49
2010-08-20,685,24089.00,38109.00,6.40,2.70,3.38668,2183,18.56988,14,2,Red,3081,19
2010-08-21,539,32662.00,56733.00,18.63,8.97,2.65748,1803,13.59361,39,4,Blue,5484,53
2010-08-22,433,51405.00,33570.00,8.65,2.96,1.36712,4999,8.45747,35,3,White,2922,33
2010-08-23,744,20320.00,44348.00,8.52,7.05,4.60708,4255,19.77976,35,3,Blue,7869,45
2010-08-24,713,43292.00,35072.00,11.57,7.22,4.05769,3298,8.12027,46,1,Black,1855,22
2010-08-25,515,55101.00,46055.00,10.48,3.67,2.83951,1743,7.58242,34,2,Red,6283,17
2010-08-26,130,21579.00,46045.00,12.13,3.15,4.97117,3127,18.69970,50,1,Red,1815,42
2010-08-27,315,30206.00,43375.00,5.19,8.76,2.43415,3935,10.89899,15,3,Black,4514,43
2010-08-28,147,28913.00,57675.00,13.22,3.57,2.27228,2428,16.25629,18,4,Blue,1619,12
2010-08-29,35,52337.00,56895.00,15.77,1.38,4.89843,3256,19.09568,42,1,White,6001,14
2010-08-30,679,29070.00,47825.00,7.49,5.91,1.19738,1169,12.06117,41,3,White,8820,17
2010-08-31,250,42685.00,52670.00,17.97,1.01,4.59149,2652,19.62432,36,3,White,4966,29
2010-09-01,460,38868.00,22709.00,12.99,6.51,4.30102,1454,18.13858,46,2,Blue,2088,3
2010-09-02,634,27006.00,42929.00,17.41,2.94,1.34313,4232,9.95388,41,1,Black,4771,59
2010-09-03,522,76044.00,43202.00,11.81,8.35,1.91756,4594,10.04341,44,2,Blue,5822,33
2010-09-04,443,43951.00,45755.00,8.18,8.21,4.38297,5769,17.63122,30,4,Red,8736,29
2010-09-05,227,17681.00,42920.00,11.14,4.22,3.49023,5678,6.73938,12,4,Silver,8861,27
2010-09-06,249,64150.00,22852.00,10.82,5.60,4.68670,3980,12.81856,29,1,Silver,1124,3
2010-09-07,783,79881.00,21015.00,14.75,5.64,3.26624,5884,5.11693,48,4,Silver,3155,57
2010-09-08,862,40015.00,35589.00,6.37,4.90,3.60710,2170,9.93434,28,3,Black,8343,44
2010-09-09,663,47077.00,43922.00,5.94,4.06,4.11197,5795,17.34798,18,4,White,6814,38
2010-09-10,815,30730.00,40268.00,17.09,9.61,3.04575,5639,13.22357,45,4,Red,4675,22
2010-09-11,94,33592.00,55682.00,16.92,1.88,3.81831,1081,12.34075,26,3,Black,9098,26
2010-09-12,629,43180.00,18154.00,9.43,9.86,1.66374,4648,7.66925,26,4,Blue,2197,60
2010-09-13,808,61972.00,38335.00,5.29,5.54,3.78818,5692,5.56836,21,1,Red,6709,26
2010-09-14,454,29620.00,42479.00,8.91,5.61,2.34191,2800,10.08241,53,4,White,2243,8
2010-09-15,323,58633.00,59979.00,13.32,3.72,4.68121,2080,19.83322,17,1,White,5590,44
2010-09-16,517,74813.00,49753.00,15.39,2.97,4.39820,3044,8.84708,58,3,White,9590,17
2010-09-17,652,58974.00,49143.00,17.61,7.18,3.45047,2087,10.07925,12,4,Red,2596,32
2010-09-18,431,21899.00,29852.00,14.41,3.48,1.17084,2301,15.62577,48,3,Blue,9765,14
2010-09-19,446,31960.00,57835.00,15.92,7.07,1.15472,1662,18.29013,55,2,Red,9516,33
2010-09-20,416,73853.00,48757.00,7.45,5.21,4.20723,5674,8.59786,42,4,Blue,6711,45
